COD_SUOLO,DESC_SUOLO,English_Name,HRL_Code,HRL_Name,Confidence,Matched_By,Is_Excluded
112,CANNA CINESE (MISCANTHUS SINENSIS),Chinese silver grass (Miscanthus sinensis),,,none,no_match,False
429,RAFANO,Horseradish,,,none,no_match,False
484,CRESCIONE DEI GIARDINI O CRESCIONE INGLESE,Garden cress,,,none,no_match,False
118,CAVOLFIORE,Cauliflower,,,none,no_match,False
167,RUCOLA,Rocket (arugula),,,none,no_match,False
226,CORIANDOLO,Coriander,,,none,no_match,False
135,PORRO,Leek,,,none,no_match,False
324,CAMOMILLA,Chamomile,,,none,no_match,False
422,BAMBU,Bamboo,,,none,no_match,False
661,COTOGNO,Quince,,,none,no_match,False
476,NESPOLO,Medlar,,,none,no_match,False
840,SULLA,Sulla (Hedysarum coronarium),,,none,no_match,False
655,ARBORETO CONSOCIABILE (CON COLTIVAZIONI ERBACEE),Mixed arboretum (with herbaceous crops),,,none,no_match,False
490,FRUTTA A GUSCIO,Nuts,,,none,no_match,False
680,SCALOGNO,Shallot,,,none,no_match,False
475,"MIRTILLI ROSSI, MIRTILLI NERI ED ALTRI FRUTTI DEL GENERE ""VACCINIUM""",,,,none,no_match,False
384,TRIFOGLIO  (SP. TRIFOLIUM PRATENSE L.),Clover,,,none,no_match,False
962,MENTA,Mint,,,none,no_match,False
488,ECHINACEA PURPUREA,Echinacea purpurea,,,none,no_match,False
438,SENAPE NERA,Black mustard,,,none,no_match,False
424,BAMBU GIGANTE,Giant bamboo,,,none,no_match,False
080,CRISANTEMO,Chrysanthemum,,,none,no_match,False
474,MORE,Blackberry,,,none,no_match,False
545,CHENOPODIUM QUINOA,Quinoa,,,none,no_match,False
787,MURETTI TRADIZIONALI,Traditional dry stone walls,,,none,no_match,False
228,GIUGGIOLO,Jujube,,,none,no_match,False
383,TRIFOGLIO (SP. TRIFOLIUM INCARNATUM L.),Crimson clover (Trifolium incarnatum),,,none,no_match,False
388,TRIFOGLIO (SP. TRIFOLIUM RESUPINATUM L.),Persian clover (Trifolium resupinatum),,,none,no_match,False
359,FESTUCA  (SP. FESTUCA ARUNDINACEA SCHREB.),,,,none,no_match,False
120,POINSETTIA (STELLA DI NATALE),Poinsettia,,,none,no_match,False
535,GERANIO,Geranium,,,none,no_match,False
790,TERRAZZAMENTI,Terraces,,,none,no_match,False
316,OLIVELLO O OLIVELLO SPINOSO,Sea buckthorn,,,none,no_match,False
306,BORRAGINE,Borage,,,none,no_match,False
292,ARONIA NERA,Black chokeberry (Aronia),,,none,no_match,False
667,SALICE,Willow,,,none,no_match,False
619,COLTIVAZIONI ARBOREE PERMANENTI SOGGETTE A DIVIETO DI FERTILIZZAZIONE E DI TRATTAMENTO FITOSANITARIO  LUNGO I CORSI D?ACQUA,,,,none,no_match,False
076,LUPPOLO,Hop,,,none,no_match,False
043,RUSCUS,Butcher’s broom (Ruscus),,,none,no_match,False
031,PEONIA,Peony,,,none,no_match,False
