COD_SUOLO,DESC_SUOLO,Corrected English Crop Name,HRL_Code,HRL_Name,Confidence,Matched_By
457,ECHINACEA PALLIDA,Echinacea pallida,,,none,no_match
556,VIVAI - ALTRI,Other nurseries,,,none,no_match
964,MAGGIORANA,Marjoram,,,none,no_match
668,EUCALIPTO,Eucalyptus,,,none,no_match
963,ORIGANO,Oregano,,,none,no_match
965,ROSMARINO,Rosemary,,,none,no_match
348,MALVA,Mallow,,,none,no_match
903,BASILICO,Basil,,,none,no_match
471,LOTO (KAKI) (COMPRESO IL CACO MELA),Persimmon,,,none,no_match
552,VIVAI FRUTTICOLI,,,,none,no_match
952,ZAFFERANO,Saffron,,,none,no_match
077,SENAPE,Mustard,,,none,no_match
792,FASCE TAMPONE NON RIPARIALI,Non-riparian buffer strips,,,none,no_match
734,FIORI EDULI,Edible flowers,,,none,no_match
899,PRATO PASCOLO,Pasture meadow,,,none,no_match
024,"BIETOLA (Compresa  la CHELTENHAM BEET, BARBABIETOLA ROSSA/BIETOLA DA COSTA)",,,,none,no_match
436,SENAPE BRUNA,Brown mustard,,,none,no_match
935,RADICCHIO,Radicchio,,,none,no_match
575,"FAVE, FAVINO E FAVETTE",,,,none,no_match
541,MIZUNA O BRASSICA RAPA,Mizuna,,,none,no_match
919,CICORIA,Chicory,,,none,no_match
501,TARTUFO,Truffle,,,none,no_match
551,VIVAI FLORICOLI,,,,none,no_match
303,FAGGIO,,,,none,no_match
917,CETRIOLO,Cucumber,,,none,no_match
507,PIANTE AROMATICHE E MEDICINALI E SPEZIE,Aromatic and medicinal plants and spices,,,none,no_match
646,PIANTE ORNAMENTALI,Ornamental plants,,,none,no_match
112,CANNA CINESE (MISCANTHUS SINENSIS),Chinese silver grass (Miscanthus sinensis),,,none,no_match
429,RAFANO,Horseradish,,,none,no_match
484,CRESCIONE DEI GIARDINI O CRESCIONE INGLESE,Garden cress,,,none,no_match
093,TRITICALE,Triticale,,,none,no_match
118,CAVOLFIORE,Cauliflower,,,none,no_match
167,RUCOLA,Rocket (arugula),,,none,no_match
226,CORIANDOLO,Coriander,,,none,no_match
135,PORRO,Leek,,,none,no_match
324,CAMOMILLA,Chamomile,,,none,no_match
422,BAMBU,Bamboo,,,none,no_match
661,COTOGNO,Quince,,,none,no_match
476,NESPOLO,Medlar,,,none,no_match
840,SULLA,Sulla (Hedysarum coronarium),,,none,no_match
655,ARBORETO CONSOCIABILE (CON COLTIVAZIONI ERBACEE),Mixed arboretum (with herbaceous crops),,,none,no_match
490,FRUTTA A GUSCIO,Nuts,,,none,no_match
680,SCALOGNO,Shallot,,,none,no_match
475,"MIRTILLI ROSSI, MIRTILLI NERI ED ALTRI FRUTTI DEL GENERE ""VACCINIUM""",,,,none,no_match
384,TRIFOGLIO  (SP. TRIFOLIUM PRATENSE L.),,,,none,no_match
962,MENTA,Mint,,,none,no_match
488,ECHINACEA PURPUREA,Echinacea purpurea,,,none,no_match
438,SENAPE NERA,Black mustard,,,none,no_match
424,BAMBU GIGANTE,Giant bamboo,,,none,no_match
080,CRISANTEMO,Chrysanthemum,,,none,no_match
474,MORE,Blackberry,,,none,no_match
545,CHENOPODIUM QUINOA,Quinoa,,,none,no_match
787,MURETTI TRADIZIONALI,Traditional dry stone walls,,,none,no_match
228,GIUGGIOLO,Jujube,,,none,no_match
383,TRIFOGLIO (SP. TRIFOLIUM INCARNATUM L.),Crimson clover (Trifolium incarnatum),,,none,no_match
388,TRIFOGLIO (SP. TRIFOLIUM RESUPINATUM L.),Persian clover (Trifolium resupinatum),,,none,no_match
359,FESTUCA  (SP. FESTUCA ARUNDINACEA SCHREB.),,,,none,no_match
555,VIVAI FORESTALI,,,,none,no_match
120,POINSETTIA (STELLA DI NATALE),Poinsettia,,,none,no_match
535,GERANIO,Geranium,,,none,no_match
790,TERRAZZAMENTI,Terraces,,,none,no_match
316,OLIVELLO O OLIVELLO SPINOSO,Sea buckthorn,,,none,no_match
306,BORRAGINE,Borage,,,none,no_match
292,ARONIA NERA,Black chokeberry (Aronia),,,none,no_match
667,SALICE,Willow,,,none,no_match
619,COLTIVAZIONI ARBOREE PERMANENTI SOGGETTE A DIVIETO DI FERTILIZZAZIONE E DI TRATTAMENTO FITOSANITARIO  LUNGO I CORSI D?ACQUA,,,,none,no_match
076,LUPPOLO,Hop,,,none,no_match
043,RUSCUS,Butcher’s broom (Ruscus),,,none,no_match
031,PEONIA,Peony,,,none,no_match
